fight,winner,loser,event,date,venue,title_fight,billing,winner_wins,loser_wins,winner_losses,loser_losses,winner_draws,loser_draws,winner_age,loser_age,belt_status,winner_nationality,loser_nationality,winner_gym ,loser_gym,winner_fan ,loser_fan
Brendan Allen vs Paul Craig,Brendan Allen,Paul Craig,UFC Fight Night: Allen vs. Craig,11.18.2023,UFC Apex,no,Main Event,22,17,5,6,0,1,27,35,,United States,Scotland,Roufusport MMA Academy,Higher Level Martial Arts,74%,26%
Michael Morales vs Jake Matthews,Michael Morales,Jake Matthews,UFC Fight Night: Allen vs. Craig,11.18.2023,UFC Apex,no,Co-Main Event,15,19,0,6,0,0,24,29,,Ecuador,Australia,Xtreme Fitness Machala,Nexus,12%,88%
Chase Hooper vs Jordan Leavitt,Chase Hooper,Jordan Leavitt,UFC Fight Night: Allen vs. Craig,11.18.2023,UFC Apex,no,Main Card,12,11,3,2,1,0,24,28,,United States,United States,Combat Sport & Fitness,Syndicate MMA,47%,53%
Payton Talbott vs Nick Aguirre,Payton Talbott,Nick Aguirre,UFC Fight Night: Allen vs. Craig,11.18.2023,UFC Apex,no,Main Card,6,7,0,1,0,0,25,27,,United States,United States,Reno Academy of Combat,Midwest Training Center,92%,8%
Amanda Ribas vs Luana Pinheiro,Amanda Ribas,Luana Pinheiro,UFC Fight Night: Allen vs. Craig,11.18.2023,UFC Apex,no,Main Card,11,11,4,1,0,0,30,30,,Brazil,Brazil,"American Top Team
(Other)

Ribas Family
(Primary)",BH Rhinos,24%,76%
Myktybek Orolbai vs Uros Medic,Myktybek Orolbai,Uros Medic,UFC Fight Night: Allen vs. Craig,11.18.2023,UFC Apex,no,Main Card,11,9,1,1,1,0,25,30,,Kyrgyzstan,Serbia,Uluu Kyrgyz Team,Anchorage Brazilian Jiu Jitsu,27%,73%
Joanderson Brito vs Jonathan Pearce,Joanderson Brito,Jonathan Pearce,UFC Fight Night: Allen vs. Craig,11.18.2023,UFC Apex,no,Preliminary Card,15,14,3,4,1,0,28,31,,Brazil,United States,Chute Boxe João Emilio,Fight Ready MMA,49%,51%
Jose Johnson vs Chad Anheliger,Jose Johnson,Chad Anheliger,UFC Fight Night: Allen vs. Craig,11.18.2023,UFC Apex,no,Preliminary Card,15,12,8,6,0,0,28,36,,United States,Canada,StrKings,Champion's Creed Martial Arts,30%,70%
Christian Leroy Duncan vs Denis Tiuliulin,Christian Leroy Duncan,Denis Tiuliulin,UFC Fight Night: Allen vs. Craig,11.18.2023,UFC Apex,no,Preliminary Card,8,11,1,8,0,0,28,35,,England,Russia,Range Martial Arts Academy,,5%,95%
Mick Parkin vs Caio Machado,Mick Parkin,Caio Machado,UFC Fight Night: Allen vs. Craig,11.18.2023,UFC Apex,no,Preliminary Card,7,8,0,1,0,1,28,29,,England,Brazil,"The Dungeon BJJ
(Primary)

TFT MMA 'Team Fish Tank'
(Other)",Franco Kickboxing Pankration,11%,89%
Jeka Saragih vs Lucas Alexander,Jeka Saragih,Lucas Alexander,UFC Fight Night: Allen vs. Craig,11.18.2023,UFC Apex,no,Preliminary Card,13,8,3,3,0,0,28,28,,Indonesia,Brazil,Batam Fighter Club,Fusion Xcel Performance,12%,88%
Ailin Perez vs Lucie Pudilová,Ailin Perez,Lucie Pudilová,UFC Fight Night: Allen vs. Craig,11.18.2023,UFC Apex,no,Preliminary Card,8,14,2,8,0,0,29,29,,Argentina,Czech Republic,The Goat Shed,KBC Příbram,68%,32%
Nikolas Motta vs Trey Ogden,,,UFC Fight Night: Allen vs. Craig,11.18.2023,UFC Apex,no,Preliminary Card,13,16,5,6,0,0,30,34,,Brazil,United States,Xtreme Couture,Marathon MMA,36%,64%
Rafael Estevam vs Charles Johnson,Rafael Estevam,Charles Johnson,UFC Fight Night: Allen vs. Craig,11.18.2023,UFC Apex,no,Preliminary Card,11,13,0,5,0,0,27,32,,Brazil,United States,Nova União,"Tiger Muay Thai
(Primary)

Murcielago MMA
(Other)

St Charles MMA
(Jiu Jitsu)",29%,71%
